building_id,height_m,height_quality,height_valid,confidence,full_plus_code,distance_from_center_m,area_m2,intersects_boundary
06b500000000002eae3a,8.796875,LOW,1,0.6840000152587891,6P58RRF6+2VG3,1103.7,78.0,False
06b50000000000213df9,19.8515625,HIGH,1,0.8895999789237976,6P58RR9J+2MQM,1103.8,529.8,False
06b50000000000060414,6.0234375,HIGH,1,0.8407999873161316,6P58RR69+3VVG,1103.9,76.4,False
06b500000000001aaf2c,25.0546875,HIGH,1,0.7903000116348267,6P58RR68+V5GM,1103.9,639.4,False
06b500000000002c4a15,7.1484375,HIGH,1,0.7925999760627747,6P58RR69+68GX,1104.2,142.0,False
06b500000000001bfe71,5.9375,HIGH,1,0.7681999802589417,6P58RRF7+J33W,1104.2,127.5,False
06b500000000001142be,4.4609375,HIGH,1,0.7145000100135803,6P58RR68+CWJW,1104.3,83.0,False
06b500000000003beb19,5.6953125,HIGH,1,0.7940999865531921,6P58RRH8+JW59,1104.3,125.5,False
06b5000000000015eab5,4.265625,HIGH,1,0.6965000033378601,6P58RR6H+W825,1104.4,107.6,False
06b500000000002c5c24,7.203125,HIGH,1,0.7461000084877014,6P58RR96+XQ6M,1104.8,42.1,False
06b500000000000a0ac8,8.9765625,HIGH,1,0.879800021648407,6P58RR6H+XF27,1104.8,576.2,False
06b500000000003a7136,,NO_HEIGHT,0,0.7662000060081482,6P58RR77+7RMV,1104.9,13.4,False
06b500000000000e7dbe,5.2890625,HIGH,1,0.786899983882904,6P58RR69+3RW8,1105.0,102.0,False
06b500000000002ea878,3.125,MEDIUM,1,0.8101999759674072,6P58RR96+FQWG,1105.1,45.3,False
06b500000000003336b9,17.25,HIGH,1,0.8064000010490417,6P58RR7H+6PCJ,1105.1,324.3,False
06b5000000000011d053,6.8671875,HIGH,1,0.845300018787384,6P58RR69+5H7M,1105.1,120.8,False
06b500000000000de2bd,4.3984375,HIGH,1,0.9147999882698059,6P58RRG7+MQJJ,1105.2,164.5,False
06b5000000000028a06e,4.453125,HIGH,1,0.7188000082969666,6P58RRH8+689G,1105.2,49.4,False
06b500000000002a35a7,8.8046875,HIGH,1,0.8130999803543091,6P58RR77+5VW6,1105.2,103.4,False
06b50000000000207bbf,6.7734375,HIGH,1,0.8087999820709229,6P58RRC6+2MG5,1105.3,752.2,False
06b500000000001203d9,8.40625,HIGH,1,0.828499972820282,6P58RRC6+PRCM,1105.4,66.0,False
06b500000000003083dc,5.6875,HIGH,1,0.8537999987602234,6P58RRH9+M5R7,1105.5,75.2,False
06b50000000000310dd9,7.1328125,HIGH,1,0.8166999816894531,6P58RRH8+GQC9,1105.6,326.6,False
06b500000000000fc7b7,7.5,HIGH,1,0.7511000037193298,6P58RR6C+26CW,1105.7,59.1,False
06b5000000000016b635,5.1796875,HIGH,1,0.7405999898910522,6P58RRC6+5PWW,1105.8,89.3,False
06b500000000000e4ab8,20.7578125,HIGH,1,0.7911999821662903,6P58RR7J+W5Q6,1105.9,40.6,False
06b50000000000110831,43.7890625,LOW,1,0.8037999868392944,6P58RR8J+38JF,1106.0,208.7,False
06b5000000000031f2a9,4.65625,HIGH,1,0.8073999881744385,6P58RRH8+8GVF,1106.1,66.9,False
06b500000000000bcb9a,7.640625,HIGH,1,0.8188999891281128,6P58RRC6+3MXR,1106.1,833.0,False
06b5000000000029aea8,5.0703125,HIGH,1,0.7599999904632568,6P58RRG7+59V3,1106.2,164.7,False
06b50000000000292715,13.484375,HIGH,1,0.8781999945640564,6P58RRH9+VJWR,1106.3,414.6,False
06b500000000000e253a,3.875,HIGH,1,0.7878999710083008,6P58RRH8+CJC9,1106.5,203.0,False
06b500000000002f0747,4.7734375,HIGH,1,0.6583999991416931,6P58RR87+36MG,1106.5,72.8,False
06b500000000000f5b31,10.953125,HIGH,1,0.795799970626831,6P58RR77+PFCC,1106.6,57.1,False
06b5000000000009906d,20.203125,HIGH,1,0.6610999703407288,6P58RR77+3XW3,1106.7,74.2,False
06b500000000003918ca,5.9921875,HIGH,1,0.7592999935150146,6P58RR69+4R3C,1106.7,28.6,False
06b50000000000267f4a,4.8359375,HIGH,1,0.7174000144004822,6P58RR69+68J5,1106.8,159.9,False
06b5000000000039dbaa,3.90625,HIGH,1,0.8323000073432922,6P58RRC6+6PCP,1107.0,349.3,False
06b50000000000037c0d,5.46875,HIGH,1,0.6944000124931335,6P58RR69+3WM2,1107.0,88.3,False
06b500000000002f8b36,8.3125,HIGH,1,0.7124999761581421,6P58RR77+4RHH,1107.0,186.7,False
06b5000000000023d298,9.3984375,HIGH,1,0.6640999913215637,6P58RRHC+X38G,1107.1,49.7,False
06b5000000000011e3b3,4.5546875,HIGH,1,0.8720999956130981,6P58RR87+363X,1107.2,138.4,False
06b50000000000046c71,3.28125,MEDIUM,1,0.6592000126838684,6P58RRG7+5933,1107.2,11.3,False
06b5000000000010f1a6,5.2265625,HIGH,1,0.8084999918937683,6P58RR7J+J2R9,1107.2,63.6,False
06b500000000002d9c9b,6.5859375,HIGH,1,0.7365000247955322,6P58RR69+5G8X,1107.5,52.5,False
06b500000000000cc168,9.203125,HIGH,1,0.6934999823570251,6P58RRHF+XC9J,1107.6,43.8,False
06b50000000000017405,6.78125,HIGH,1,0.7985000014305115,6P58RR7J+Q4MM,1107.6,77.9,False
06b500000000001930e6,5.8046875,HIGH,1,0.7785000205039978,6P58RR6C+322M,1107.7,86.3,False
06b500000000000b62de,5.890625,HIGH,1,0.7962999939918518,6P58RRC6+XVCV,1107.7,59.8,False
06b500000000002bd55d,3.6171875,HIGH,1,0.822700023651123,6P58RR6G+HVG6,1107.8,82.0,False
06b5000000000001cc6e,,NO_HEIGHT,0,0.7767000198364258,6P58RR8J+RH5H,1107.9,48.4,False
06b500000000003ff187,11.84375,HIGH,1,0.8003000020980835,6P58RR77+4WGH,1108.0,92.4,False
06b500000000000242d4,7.0,HIGH,1,0.7901999950408936,6P58RR6C+23PP,1108.0,128.5,False
06b5000000000040db21,5.1484375,HIGH,1,0.8508999943733215,6P58RRG7+7C23,1108.1,138.4,False
06b500000000002a7a8e,4.59375,HIGH,1,0.667900025844574,6P58RRC6+7QCV,1108.2,42.9,False
06b5000000000028c194,4.1796875,HIGH,1,0.7569000124931335,6P58RRH8+7985,1108.4,66.1,False
